method,h,error,c
InvMQ_poly,0.00625,3.81E-06,1.1
Gauss_poly,0.00625,3.81E-06,1.1
MQ_poly,0.2,0.003935319,1.2
InvMQ_poly,0.2,0.004030949,1.2
Gauss_poly,0.2,0.003975314,1.2
MQ_poly,0.1,0.000977496,1.2
InvMQ_poly,0.1,0.000983874,1.2
Gauss_poly,0.1,0.000980008,1.2
MQ_poly,0.05,0.000243968,1.2
InvMQ_poly,0.05,0.000244373,1.2
Gauss_poly,0.05,0.000244125,1.2
MQ_poly,0.025,6.10E-05,1.2
InvMQ_poly,0.025,6.10E-05,1.2
Gauss_poly,0.025,6.10E-05,1.2
MQ_poly,0.0125,1.52E-05,1.2
InvMQ_poly,0.0125,1.52E-05,1.2
Gauss_poly,0.0125,1.52E-05,1.2
MQ_poly,0.00625,3.81E-06,1.2
InvMQ_poly,0.00625,3.81E-06,1.2
Gauss_poly,0.00625,3.81E-06,1.2
MQ_poly,0.2,0.003937528,1.3
InvMQ_poly,0.2,0.004048217,1.3
Gauss_poly,0.2,0.003984044,1.3
MQ_poly,0.1,0.000977645,1.3
InvMQ_poly,0.1,0.000985067,1.3
Gauss_poly,0.1,0.000980567,1.3
MQ_poly,0.05,0.000243977,1.3
InvMQ_poly,0.05,0.00024445,1.3
Gauss_poly,0.05,0.00024416,1.3
MQ_poly,0.025,6.10E-05,1.3
InvMQ_poly,0.025,6.10E-05,1.3
Gauss_poly,0.025,6.10E-05,1.3
MQ_poly,0.0125,1.52E-05,1.3
InvMQ_poly,0.0125,1.52E-05,1.3
Gauss_poly,0.0125,1.52E-05,1.3
MQ_poly,0.00625,3.81E-06,1.3
InvMQ_poly,0.00625,3.81E-06,1.3
Gauss_poly,0.00625,3.81E-06,1.3
MQ_poly,0.2,0.003939868,1.4
InvMQ_poly,0.2,0.004066589,1.4
Gauss_poly,0.2,0.00399339,1.4
MQ_poly,0.1,0.000977804,1.4
InvMQ_poly,0.1,0.000986346,1.4
Gauss_poly,0.1,0.000981167,1.4
MQ_poly,0.05,0.000243987,1.4
InvMQ_poly,0.05,0.000244532,1.4
Gauss_poly,0.05,0.000244198,1.4
MQ_poly,0.025,6.10E-05,1.4
InvMQ_poly,0.025,6.10E-05,1.4
Gauss_poly,0.025,6.10E-05,1.4
MQ_poly,0.0125,1.52E-05,1.4
InvMQ_poly,0.0125,1.52E-05,1.4
Gauss_poly,0.0125,1.52E-05,1.4
MQ_poly,0.00625,3.81E-06,1.4
InvMQ_poly,0.00625,3.81E-06,1.4
Gauss_poly,0.00625,3.81E-06,1.4
MQ_poly,0.2,0.003942337,1.5
InvMQ_poly,0.2,0.004086039,1.5
Gauss_poly,0.2,0.004003348,1.5
MQ_poly,0.1,0.000977972,1.5
InvMQ_poly,0.1,0.000987711,1.5
